datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2012-10-01 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.1,,,
2012-10-01 13:00:00,284.63,282.08,289.48,281.8,291.87,291.53,293.41,296.6,285.12,284.61,289.29,289.74,288.27,289.98,286.87,286.18,284.01,287.41,283.85,294.03,284.03,298.17,288.65,299.72,281.0,286.26,285.63,288.22,285.83,287.17,307.59,305.47,310.58,304.4,304.4,303.5
2012-10-01 14:00:00,284.62904131,282.083251974,289.474992813,281.797216632,291.868185522,291.533500952,293.403141271,296.608508543,285.154558187,284.607305531,289.303648787,289.762974207,288.297575758,289.997635363,286.893635588,286.185246029,284.054690974,287.42136028,283.889393939,294.03534141,284.069789234,298.205229759,288.650172214,299.732517698,281.024767377,286.262540958,285.663207797,288.24767617,285.834649953,287.186092094,307.59,304.31,310.495769231,304.4,304.4,303.5
2012-10-01 15:00:00,284.626997923,282.091866475,289.460618112,281.789832606,291.862844459,291.543355079,293.392177052,296.631487354,285.233951595,284.5999178,289.338496754,289.830766948,288.334343434,290.038150556,286.951400772,286.199194111,284.177412183,287.454636935,283.941919192,294.049702185,284.173964682,298.299595186,288.650581705,299.76657946,281.088318736,286.269518418,285.756824139,288.326939663,285.847789539,287.23167159,307.391512749,304.281841331,310.411538462,304.4,304.4,303.5
2012-10-01 16:00:00,284.624954535,282.100480976,289.446243412,281.78244858,291.857503395,291.553209206,293.381212832,296.654466164,285.313345004,284.59253007,289.373344722,289.89855969,288.371111111,290.07866575,287.009165955,286.213142193,284.300133393,287.48791359,283.994444444,294.064062959,284.278140131,298.393960613,288.650991196,299.800641223,281.151870096,286.276495879,285.85044048,288.406203155,285.860929124,287.277251086,307.145199718,304.238014609,310.327307692,304.4,304.4,303.5
2012-10-01 17:00:00,284.622911147,282.109095477,289.431868711,281.775064553,291.852162332,291.563063333,293.370248613,296.677444975,285.392738413,284.585142339,289.408192689,289.966352431,288.407878788,290.119180943,287.066931139,286.227090275,284.422854602,287.521190245,284.046969697,294.078423734,284.38231558,298.488326039,288.651400687,299.834702986,281.215421455,286.283473339,285.944056822,288.485466648,285.874068709,287.322830583,306.898886687,304.194187887,310.243076923,304.4,304.4,303.5
2012-10-01 18:00:00,284.620867759,282.117709978,289.417494011,281.767680527,291.846821268,291.57291746,293.359284393,296.700423786,285.472131822,284.577754609,289.443040656,290.034145172,288.444646465,290.159696136,287.124696323,286.241038357,284.545575811,287.5544669,284.099494949,294.092784509,284.486491028,298.582691466,288.651810178,299.868764748,281.278972814,286.290450799,286.037673164,288.564730141,285.887208294,287.368410079,306.652573655,304.150361165,310.158846154,304.4,304.4,303.5
2012-10-01 19:00:00,284.618824371,282.12632448,289.40311931,281.760296501,291.841480205,291.582771587,293.348320173,296.723402597,285.551525231,284.570366878,289.477888623,290.101937914,288.481414141,290.200211329,287.182461507,286.254986439,284.668297021,287.587743555,284.152020202,294.107145283,284.590666477,298.677056893,288.652219669,299.902826511,281.342524173,286.297428259,286.131289506,288.643993634,285.90034788,287.413989575,306.406260624,304.106534443,310.074615385,304.4,304.4,303.5
2012-10-01 20:00:00,284.616780983,282.134938981,289.388744609,281.752912474,291.836139142,291.592625714,293.337355954,296.746381407,285.63091864,284.562979148,289.51273659,290.169730655,288.518181818,290.240726522,287.240226691,286.268934522,284.79101823,287.62102021,284.204545455,294.121506058,284.694841925,298.771422319,288.65262916,299.936888273,281.406075533,286.304405719,286.224905848,288.723257127,285.913487465,287.459569071,306.159947593,304.06270772,309.990384615,304.4,304.4,303.5
2012-10-01 21:00:00,284.614737595,282.143553482,289.374369909,281.745528448,291.830798078,291.602479841,293.326391734,296.769360218,285.710312049,284.555591417,289.547584558,290.237523396,288.554949495,290.281241716,287.297991875,286.282882604,284.91373944,287.654296865,284.257070707,294.135866832,284.799017374,298.865787746,288.653038651,299.970950036,281.469626892,286.311383179,286.318522189,288.80252062,285.92662705,287.505148567,305.913634562,304.018880998,309.906153846,304.4,304.4,303.5
