State,District,Station,Lat.,Long.
Uttarakhand,Almora,Matela,29.62,79.62
Uttarakhand,Bageshwar,Kapkote,29.93,79.9
Uttarakhand,Chamoli,Chamoli,30.4,79.32
Uttarakhand,Chamoli,Gairsain,30.05,79.29
Uttarakhand,Chamoli,Joshimath,30.55,79.57
Uttarakhand,Champawat,Champawat,29.34,80.09
Uttarakhand,Dehradun,Dehradun,30.32,78.05
Uttarakhand,Dehradun,Jollygrant,30.19,78.18
Uttarakhand,Dehradun,Massouri,30.48,78.05
Uttarakhand,Dehradun,Tiuni,30.93,77.85
Uttarakhand,Haridwar,Dhanauri,29.93,77.97
Uttarakhand,Haridwar,Roorkee,29.84,77.92
Uttarakhand,Nainital,Mukteshwar,29.47,79.65
Uttarakhand,Nainital,Nainital,29.36,79.46
Uttarakhand,Pauri_Garhwal,Bharsar,30.05,79
Uttarakhand,Pithoragarh,Munsyari,30.07,80.24
Uttarakhand,Pithoragarh,Pithoragarh,29.57,80.23
Uttarakhand,Rudraprayag,Rudra_prayag,30.32,78.97
Uttarakhand,Tehri_Garhwal,Ghansali,30.43,78.66
Uttarakhand,Tehri_Garhwal,Rani_chawri,30.2,78.52
Uttarakhand,Udham_Singh_Nagar,Jaspur,29.27,78.83
Uttarakhand,Udham_Singh_Nagar,Pantnagar,29.02,79.48
Uttarakhand,Udham_Singh_Nagar,Rudrapur,28.98,79.4
Uttarakhand,Uttarkashi,Purola,30.86,78
Uttarakhand,Uttarkashi,Uttar_kashi,30.72,78.43
