Sl. No.,State/UT,AWS,ARG
1,Andaman and Nicobar Island,2,NA
2,Andhra Pradesh,32,61
3,Arunachal Pradesh,18,27
4,Assam,34,63
5,Bihar,43,28
6,Chandigarh,2,NA
7,Chhattisgarh,28,33
8,Daman and Diu,2,1
9,Delhi,12,1
10,Goa,5,5
11,Gujarat,45,65
12,Haryana,32,33
13,Himachal Pradesh,27,71
14,Jammu and Kashmir,27,14
15,Jharkhand,32,28
16,Karnataka,39,47
17,Kerala,32,30
18,Ladakh,4,NA
19,Lakshadweep,1,NA
20,Madhya Pradesh,66,101
21,Maharashtra,63,124
22,Manipur,10,8
23,Meghalaya,7,10
24,Mizoram,8,16
25,Nagaland,10,14
26,Odisha,47,177
27,Puducherry,3,1
28,Punjab,30,21
29,Rajasthan,48,64
30,Sikkim,5,4
31,Tamil Nadu,47,80
32,Telangana,16,55
33,Tripura,5,8
34,Uttarakhand,28,21
35,Uttar Pradesh,68,132
36,West Bengal,33,33
